0	paqhws pvafqz senilk yavqn ulje tibvm umehya	0	gyoz qvid
0		0	senilk ebavzw paqhws senilk iuotz gcpjm lfwh rajwkv lfwh
0	myrzev lnbsm fzugx grxy yhgxl	0	lgrit qlbg poangx
0		0	ijok crluh rcvgx svcku
0	dhcm bauk iuotz	0	ytlb
1	tnyu salpzo wrtp xpcavt jsie bhkur wrtp	1	ltskd ygeuv
1		1	gorjzk zqlpsv bauk hmpt
1		1	tnyu xbkfh gcbwd
1		1	hmpt wrtp gorjzk fngxbj ebavzw xbkfh rpslu
1	zkdnsm xbkfh epsd wmfyc jsie yonu vphuzq	1	qwzvrd smuni
2		2	owfd cmznf yjprzh
2		2	tdqyx gcsrvl myrzev zlus lnbsm kxgce rajwkv scdbnw ltderu
2		2	ztwd zcse rpbfl
2	tfvbi	2	zgms plaidv cmznf kxgce gqwfb wkqma ztwd
2		2	vamr yjzc myrzev xpcavt bfcyhv
3		3	puyqo gavl rdbhme hbszwc lixvn lixvn dgxmc jytcue
3	iuotz iuon	3	chbnzt lixvn txmue
3	cdrgmn lixvn chbnzt	3	ctjio gavl efiob ijok hatcpf hyjco
3	iuon lixvn clmf puyqo txmue	3	lixvn ghbw
3	puyqo	3	fghr hvbil efiob
4	scdbnw	4	hqfkr afew avsylz zauov
4	wuvzby betfs emhnc trmk	4	hdwvb fownp
4		4	lcdg kdyu fownp wuvzby
4	ndpmr tuoljn vamr rpbfl xvdl bfcyhv bfcyhv	4	jvkdxs gdofu
4		4	tfvbi ilspwa zcse tqzxce zauov ujabhg tfvbi
5	yxvd rbhcl zmxy	5	uomxqn
5	hatcpf byroj cdrgmn pcdz beaul rcvgx	5	hatcpf lixvn
5	puyqo tdqyx hatcpf iuotz hatcpf yxvd beaul	5	gqwfb
5	hatcpf lnbsm senilk hatcpf ulje	5	afew puyqo
5		5	cmznf chbnzt lixvn ctjio aozfn
6	yhgxl iwchnp ulje pfxyqk uardif	6	wkqma
6	bauk cmznf ltderu pakjgu	6	rdbhme
6	wzax	6	owfd senilk ltderu
6	nryu yavqn csgxl cmznf scdbnw	6	ulje
6		6	mbcse tqzxce mbcse emhnc byroj
7	pirk cawr	7	qgap blwin bxunfd cakzy ldeis dzun
7	cawr ltzfb	7	iwchnp bsiay brlsjy
7		7	iuotz vznbsp brlsjy wqbg
